Nasdaq~^~-1@1
NASDAQ~^~-1@1
NYSE~^~-1@1
OTC~^~-1@1
Corp.~^~-1@1
Co.~^~-1@1
LLC~^~-1@1
Inc.~^~-1@1
Ind.~^~-1@1
startup~^~0@0
company~^~0@0
firm~^~0@0
group~^~0@0
business~^~0@0
partnership~^~0@0
merger~^~0@0
